Type,Country Code,Series Code,Description
Country-Series,Kazakhstan (KAZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistical Agency of Kazakhstan, TransMONEE, United Nations World Population Prospects"
Country-Series,Kenya (KEN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Kyrgyz Republic (KGZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : TransMONEE, United Nations World Population Prospects"
Country-Series,Cambodia (KHM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Kiribati (KIR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,St. Kitts and Nevis (KNA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations Population and Vital Statistics Report
Country-Series,"Korea, Rep. (KOR)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Korean Statistical Information Service, United Nations World Population Prospects"
Country-Series,Kosovo (KSV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : U.S. Census Bureau
Country-Series,Kuwait (KWT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Lao PDR (LAO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Lebanon (LBN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Liberia (LBR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Libya (LBY),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,St. Lucia (LCA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Liechtenstein (LIE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Sri Lanka (LKA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
